DISTRICT,Sub_dist,Vill_name,latitude,longitude
NALGONDA,KATTANGUR,Thimmapuram,3262053.8519585994,3922643.5747694145
NALGONDA,MUNUGODE,Marriguda,3247650.029027704,3893215.5397461415
NALGONDA,MUNUGODE,Chalimeda,3251202.3004682297,3891022.493966518
NALGONDA,TRIPURARAM,Matoor,3212222.5167505573,3950316.1458394635
NALGONDA,ANUMULA (HALIYA),Venkatadripalem,3223036.1647190223,3917552.0323406253
NALGONDA,THIPPARTHY,Kankanalapally,3243677.3005455765,3931172.3375149677
NALGONDA,THIPPARTHY,Anishetty Duppalapally,3241579.1549707158,3929793.9739002013
NALGONDA,NALGONDA,Velugupalli,3237232.858305196,3926791.9585797056
NALGONDA,NALGONDA,Guttakindi Annaram,3240299.5303008696,3925873.6941077323
SURYAPET,NUTHANAKAL,Lingampally,3272705.9714797284,3975183.6566361613
SURYAPET,NUTHANAKAL,Mediguda,3271931.809146042,3972613.486126249
SURYAPET,ATHMAKUR (S),Venkatapuram,3268348.1896772254,3972111.6493991097
KHAMMAM,NELAKONDAPALLI,Chandapuram,3249535.135880543,4009196.896107716
KHAMMAM,WYRA,Medibanda,3246768.7600386324,4035152.456665769
KHAMMAM,YERRUPALEM,Tripuraram,3218490.874146857,4052610.2299911445
KHAMMAM,YERRUPALEM,Rangagudem,3217986.517520053,4054513.588802082
KHAMMAM,KONIJERLA,Lingagudem,3260296.1561119556,4030490.9376014024
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Venkataramapuram,3324311.0615042383,4090851.613814817
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,W.Reguballi,3326687.046044974,4092812.589040738
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Kasinagaram,3335824.148524561,4093858.7984705656
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,S.Kothagudem,3337965.580677324,4093030.8140126946
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Laxminarasimharaopeta,3338480.3744083354,4093562.966397328
BHADRADRI KOTHAGUDEM,GUNDALA,Padigapuram,3329185.615622533,4028349.673772625
BHADRADRI KOTHAGUDEM,GUNDALA,Rudrapaka,3327394.8177917562,4029545.1579554197
BHADRADRI KOTHAGUDEM,CHUNCHUPALLY,Penuballi,3291979.937542995,4071290.0834916504
BHADRADRI KOTHAGUDEM,MANUGUR,Peddipalli,3343051.5567069277,4081172.631978909
BHADRADRI KOTHAGUDEM,CHERLA,Subbampeta (G),3356814.896879335,4078859.6526521333
BHADRADRI KOTHAGUDEM,CHERLA,Mamidigudem (Z),3342961.7688699574,4092336.482656544
BHADRADRI KOTHAGUDEM,CHUNCHUPALLY,Chunchupalli (CT),3295242.8347693565,4064761.7978766025
MULUGU,VENKATAPUR,Bandlapahad,3387664.4701493136,4000967.3785999003
MULUGU,GOVINDARAOPET,Dammakkapalle,3373654.2993169017,4009250.3470934154
MULUGU,GOVINDARAOPET,Venkatapur,3371966.1602230626,4009356.750772408
MULUGU,MULUG,Potlapur,3360397.7835562653,3999730.6068667853
MAHABUBABAD,KOTHAGUDA,Ippalapagidapur,3352336.317648128,4015137.6744993045
MAHABUBABAD,KOTHAGUDA,Devavaram,3346225.984895495,4012447.599202024
MULUGU,TADVAI(SAMMAKKA SARAKKA),Uppukunta,3368794.235088551,4020373.4071886037
MULUGU,TADVAI(SAMMAKKA SARAKKA),Immadigudem,3370408.635792643,4025357.6063068556
MULUGU,TADVAI(SAMMAKKA SARAKKA),Padigapuram (P.A.),3367667.1982073826,4023928.042011924
MULUGU,TADVAI(SAMMAKKA SARAKKA),Gouraram (P.A),3363010.8036348964,4017837.524163971
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kondaiguda,3349928.306568197,4034112.750877089
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kamisettigudem,3358083.1317498013,4047741.176601417
MULUGU,TADVAI(SAMMAKKA SARAKKA),Venkannagudem,3361621.980547087,4047489.483465396
MULUGU,GOVINDARAOPET,Kannaigudem,3368764.6451127566,4018664.693558626
MULUGU,KANNAIGUDEM,Ilapur,3396797.851905675,4026811.2370600174
MULUGU,KANNAIGUDEM,Muppanapalle,3403779.011294053,4034794.4798879824
MULUGU,KANNAIGUDEM,Malkapally,3404920.456981188,4034430.327861146
MULUGU,KANNAIGUDEM,Gangugudem,3405624.5457370672,4037033.5216844887
MULUGU,KANNAIGUDEM,Padigapuram,3404851.732165524,4036517.40964001
MULUGU,KANNAIGUDEM,Rampur,3406754.602300312,4036711.384907281
MULUGU,TADVAI(SAMMAKKA SARAKKA),Serigaram,3368859.4326275275,4043198.179155099
MULUGU,KANNAIGUDEM,Paredu,3409189.8871786282,4033519.668158303
MULUGU,KANNAIGUDEM,Andhukupalle,3410740.7002934082,4035633.3408914856
MULUGU,KANNAIGUDEM,Marepally,3408191.691605622,4026335.2777923374
MULUGU,TADVAI(SAMMAKKA SARAKKA),Bhupatipuram,3368396.3297099615,4041287.5786271407
MULUGU,TADVAI(SAMMAKKA SARAKKA),Gangaram (P.A),3367390.6279867785,4039583.3637849544
MULUGU,TADVAI(SAMMAKKA SARAKKA),Ramannagudem,3368337.7513851738,4038584.5931654572
MULUGU,TADVAI(SAMMAKKA SARAKKA),Sattaram,3357941.8768786606,4039780.957724622
